full.name,short.name,plot.label.name
"Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With dial-up Internet subscription alone",n.householdIncome_20kTo75k_hasDialUpOnly,"Frequency of households with incomes $20,000 - $74,999 and have dial-up internet ONLY"
"Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With dial-up Internet subscription alone",moe.householdIncome_20kTo75k_hasDialUpOnly,"MOE of households with incomes $20,000 - $74,999 and have dial-up internet ONLY"
"Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With a broadband Internet subscription",n.householdInccome_20kTo75k_hasBroadband,"Frequency of households with incomes $20,000 - $74,999 and have broadband"
"Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!With a broadband Internet subscription",moe.householdInccome_20kTo75k_hasBroadband,"MOE of households with incomes $20,000 - $74,999 and have broadband"
"Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!Without an Internet subscription",n.householdIncome_20kTo75k_noInternetSubscription,"Frequency of households with incomes $20,000 - $74,999 and have no internet subscription plan"
"Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999:!!Without an Internet subscription",moe.householdIncome_20kTo75k_noInternetSubscription,"MOE of households with incomes $20,000 - $74,999 and have no internet subscription plan"
"Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:",n.householdIncome_over75k,"Frequency of households with incomes over $75,000"
"Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:",moe.householdIncome_over75k,"MOE of households with incomes over $75,000"
"Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With dial-up Internet subscription alone",n.householdIncome_over75k_hasDialUpOnly,"Frequency of households with incomes over $75,000 and have dial-up internet ONLY"
"Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With dial-up Internet subscription alone",moe.householdIncome_over75k_hasDialUpOnly,"MOE of households with incomes over $75,000 and have dial-up internet ONLY"
"Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With a broadband Internet subscription",n.householdIncome_over75k_hasBroadband,"Frequency of households with incomes over $75,000 and have broadband"
"Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!With a broadband Internet subscription",moe.householdIncome_over75k_hasBroadband,"MOE of households with incomes over $75,000 and have broadband"
"Estimate!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!Without an Internet subscription",n.householdIncome_over75k_noInternetSubscription,"Frequency of households with incomes over $75,000 and have no internet subscription plan"
"Margin of Error!!Total!!Total households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more:!!Without an Internet subscription",moe.householdIncome_over75k_noInternetSubscription,"MOE of households with incomes over $75,000 and have no internet subscription plan"
